data,blur,noise,method,image_index,rel_primal_error_K,oracle_K
real,train,train,plain-FBHF,0,0.0006291168392635882,4000
real,train,train,plain-FBHF,1,0.0009612594149075449,4000
real,train,train,plain-FBHF,2,0.0002864220004994422,4000
real,train,train,plain-FBHF,3,0.0008187519852072,4000
real,train,train,plain-FBHF,4,7.415799336740747e-05,4000
real,train,train,plain-FBHF,5,0.001853237277828157,4000
real,train,train,plain-FBHF,6,0.00028357969131320715,4000
real,train,train,plain-FBHF,7,0.0028714595828205347,4000
real,train,train,plain-FBHF,8,0.00013532226148527116,4000
real,train,train,plain-FBHF,9,0.0008310244884341955,4000
real,train,train,plain-FBHF,10,0.00021982085308991373,4000
real,train,train,plain-FBHF,11,0.001250733737833798,4000
real,train,train,plain-FBHF,12,0.00018160196486860514,4000
real,train,train,plain-FBHF,13,0.001362270675599575,4000
real,train,train,plain-FBHF,14,0.0002530786441639066,4000
real,train,train,plain-FBHF,15,0.0005746178212575614,4000
real,train,train,plain-FBHF,16,0.0008888502488844097,4000
real,train,train,plain-FBHF,17,0.0001269853673875332,4000
real,train,train,plain-FBHF,18,0.0010746094631031156,4000
real,train,train,plain-FBHF,19,0.004393703769892454,4000
real,train,train,plain-FBHF,20,0.00011949922918574885,4000
real,train,train,plain-FBHF,21,0.0035407564137130976,4000
real,train,train,plain-FBHF,22,0.0007671593339182436,4000
real,train,train,plain-FBHF,23,0.00017207086784765124,4000
real,train,train,plain-FBHF,24,0.00041210296330973506,4000
real,train,train,plain-FBHF,25,0.0013048716355115175,4000
real,train,train,plain-FBHF,26,0.0033180040773004293,4000
real,train,train,plain-FBHF,27,0.0002620610175654292,4000
real,train,train,plain-FBHF,28,0.0007142105023376644,4000
real,train,train,plain-FBHF,29,0.0009209560230374336,4000
real,train,train,plain-FBHF,30,0.0005679471651092172,4000
real,train,train,plain-FBHF,31,0.0001419031323166564,4000
real,train,train,plain-FBHF,32,0.0005691349506378174,4000
real,train,train,plain-FBHF,33,0.00018260265642311424,4000
real,train,train,plain-FBHF,34,0.0018204026855528355,4000
real,train,train,plain-FBHF,35,0.00011071769404225051,4000
real,train,train,plain-FBHF,36,0.00029010302387177944,4000
real,train,train,plain-FBHF,37,0.0005137723637744784,4000
real,train,train,plain-FBHF,38,0.00015613785944879055,4000
real,train,train,plain-FBHF,39,0.00019346413318999112,4000
real,train,train,plain-FBHF,40,0.00012128120579291135,4000
real,train,train,plain-FBHF,41,0.00028238887898623943,4000
real,train,train,plain-FBHF,42,0.0029794478323310614,4000
real,train,train,plain-FBHF,43,0.0003782009589485824,4000
real,train,train,plain-FBHF,44,0.0015318728983402252,4000
real,train,train,plain-FBHF,45,0.0009905931074172258,4000
real,train,train,plain-FBHF,46,0.0036715015303343534,4000
real,train,train,plain-FBHF,47,0.00012716930359601974,4000
real,train,train,plain-FBHF,48,0.00030787516152486205,4000
real,train,train,plain-FBHF,49,0.00013558845967054367,4000
real,train,train,plain-FBHF,50,0.0018657043110579252,4000
real,train,train,plain-FBHF,51,0.0021808305755257607,4000
real,train,train,plain-FBHF,52,0.0032077908981591463,4000
real,train,train,plain-FBHF,53,0.0012010817881673574,4000
real,train,train,plain-FBHF,54,0.0007346370839513838,4000
real,train,train,plain-FBHF,55,0.0003411886573303491,4000
real,train,train,plain-FBHF,56,0.001125134527683258,4000
real,train,train,plain-FBHF,57,0.003140868851915002,4000
real,train,train,plain-FBHF,58,0.00022634441847912967,4000
real,train,train,plain-FBHF,59,0.00028701353585347533,4000
real,train,train,plain-FBHF,60,0.0004681800492107868,4000
real,train,train,plain-FBHF,61,9.639318886911497e-05,4000
real,train,train,plain-FBHF,62,0.0021774128545075655,4000
real,train,train,plain-FBHF,63,0.00021286231640260667,4000
real,train,train,line-search-FBHF,0,0.0006225400138646364,4526
real,train,train,line-search-FBHF,1,0.0010475877206772566,4526
real,train,train,line-search-FBHF,2,0.00030281211365945637,4526
real,train,train,line-search-FBHF,3,0.000838914536871016,4526
real,train,train,line-search-FBHF,4,3.059055961784907e-05,4526
real,train,train,line-search-FBHF,5,0.0018671544967219234,4526
real,train,train,line-search-FBHF,6,4.429035834618844e-05,4526
real,train,train,line-search-FBHF,7,0.0028444486670196056,4526
real,train,train,line-search-FBHF,8,8.849833102431148e-05,4526
real,train,train,line-search-FBHF,9,0.0007515109027735889,4526
real,train,train,line-search-FBHF,10,0.0001828720123739913,4526
real,train,train,line-search-FBHF,11,0.0011919446988031268,4526
real,train,train,line-search-FBHF,12,7.84499425208196e-05,4526
real,train,train,line-search-FBHF,13,0.0011464320123195648,4526
real,train,train,line-search-FBHF,14,5.2973042329540476e-05,4526
real,train,train,line-search-FBHF,15,0.0005435320781543851,4526
real,train,train,line-search-FBHF,16,0.0008104717126116157,4526
real,train,train,line-search-FBHF,17,6.621047214139253e-05,4526
real,train,train,line-search-FBHF,18,0.0009841786231845617,4526
real,train,train,line-search-FBHF,19,0.00428041210398078,4526
real,train,train,line-search-FBHF,20,8.938321116147563e-05,4526
real,train,train,line-search-FBHF,21,0.0034766457974910736,4526
real,train,train,line-search-FBHF,22,0.0007409597164951265,4526
real,train,train,line-search-FBHF,23,0.00011894129420397803,4526
real,train,train,line-search-FBHF,24,0.00040521298069506884,4526
real,train,train,line-search-FBHF,25,0.0012386954622343183,4526
real,train,train,line-search-FBHF,26,0.0033308742567896843,4526
real,train,train,line-search-FBHF,27,0.00013359685544855893,4526
real,train,train,line-search-FBHF,28,0.0004809018282685429,4526
real,train,train,line-search-FBHF,29,0.0007084778044372797,4526
real,train,train,line-search-FBHF,30,0.0005348650738596916,4526
real,train,train,line-search-FBHF,31,5.245923966867849e-05,4526
real,train,train,line-search-FBHF,32,0.0005305393133312464,4526
real,train,train,line-search-FBHF,33,0.00012519578740466386,4526
real,train,train,line-search-FBHF,34,0.0018199589103460312,4526
real,train,train,line-search-FBHF,35,3.685559204313904e-05,4526
real,train,train,line-search-FBHF,36,7.956653280416504e-05,4526
real,train,train,line-search-FBHF,37,0.00048730242997407913,4526
real,train,train,line-search-FBHF,38,4.60235241916962e-05,4526
real,train,train,line-search-FBHF,39,3.433287929510698e-05,4526
real,train,train,line-search-FBHF,40,0.00011764490773202851,4526
real,train,train,line-search-FBHF,41,6.2739105487708e-05,4526
real,train,train,line-search-FBHF,42,0.00296140369027853,4526
real,train,train,line-search-FBHF,43,0.0003269636072218418,4526
real,train,train,line-search-FBHF,44,0.0015057041309773922,4526
real,train,train,line-search-FBHF,45,0.0009126928634941578,4526
real,train,train,line-search-FBHF,46,0.0036029010079801083,4526
real,train,train,line-search-FBHF,47,8.42884328449145e-05,4526
real,train,train,line-search-FBHF,48,0.00033657782478258014,4526
real,train,train,line-search-FBHF,49,0.00011390724102966487,4526
real,train,train,line-search-FBHF,50,0.0018389314645901322,4526
real,train,train,line-search-FBHF,51,0.002105295192450285,4526
real,train,train,line-search-FBHF,52,0.003139153588563204,4526
real,train,train,line-search-FBHF,53,0.0011458336375653744,4526
real,train,train,line-search-FBHF,54,0.0006053943070583045,4526
real,train,train,line-search-FBHF,55,8.140839054249227e-05,4526
real,train,train,line-search-FBHF,56,0.0010979515500366688,4526
real,train,train,line-search-FBHF,57,0.0030827480368316174,4526
real,train,train,line-search-FBHF,58,6.435249815694988e-05,4526
real,train,train,line-search-FBHF,59,0.0003126502560917288,4526
real,train,train,line-search-FBHF,60,0.0003042127355001867,4526
real,train,train,line-search-FBHF,61,2.8693235435639508e-05,4526
real,train,train,line-search-FBHF,62,0.0021293603349477053,4526
real,train,train,line-search-FBHF,63,0.0001854020229075104,4526
real,train,train,fixed-precond,0,0.00025569958961568773,4000
real,train,train,fixed-precond,1,0.0002970877103507519,4000
real,train,train,fixed-precond,2,0.00012508950021583587,4000
real,train,train,fixed-precond,3,0.00012232990411575884,4000
real,train,train,fixed-precond,4,0.00010255050437990576,4000
real,train,train,fixed-precond,5,0.00027397487428970635,4000
real,train,train,fixed-precond,6,0.0004785152559634298,4000
real,train,train,fixed-precond,7,0.0010824898490682244,4000
real,train,train,fixed-precond,8,0.00016138501814566553,4000
real,train,train,fixed-precond,9,0.000270675664069131,4000
real,train,train,fixed-precond,10,0.0001299643045058474,4000
real,train,train,fixed-precond,11,0.0001870275300461799,4000
real,train,train,fixed-precond,12,0.0002680283214431256,4000
real,train,train,fixed-precond,13,0.00021000273409299552,4000
real,train,train,fixed-precond,14,0.0004395006690174341,4000
real,train,train,fixed-precond,15,0.0001363434421364218,4000
real,train,train,fixed-precond,16,0.00019058854377362877,4000
real,train,train,fixed-precond,17,0.0001844830549089238,4000
real,train,train,fixed-precond,18,0.0002090498455800116,4000
real,train,train,fixed-precond,19,0.0026385679375380278,4000
real,train,train,fixed-precond,20,0.00013152099563740194,4000
real,train,train,fixed-precond,21,0.00030340004013851285,4000
real,train,train,fixed-precond,22,0.0003566836239770055,4000
real,train,train,fixed-precond,23,0.00019410706590861082,4000
real,train,train,fixed-precond,24,0.00026789121329784393,4000
real,train,train,fixed-precond,25,0.0005618405994027853,4000
real,train,train,fixed-precond,26,0.0005543026491068304,4000
real,train,train,fixed-precond,27,0.00038349087117239833,4000
real,train,train,fixed-precond,28,0.0007178031955845654,4000
real,train,train,fixed-precond,29,0.0007940146024338901,4000
real,train,train,fixed-precond,30,0.00019961803627666086,4000
real,train,train,fixed-precond,31,0.00021082969033159316,4000
real,train,train,fixed-precond,32,0.00039688716060481966,4000
real,train,train,fixed-precond,33,0.00021470215870067477,4000
real,train,train,fixed-precond,34,0.00023169198539108038,4000
real,train,train,fixed-precond,35,0.00016864623466972262,4000
real,train,train,fixed-precond,36,0.0003915868292097002,4000
real,train,train,fixed-precond,37,0.0002862932160496712,4000
real,train,train,fixed-precond,38,0.00018320974777452648,4000
real,train,train,fixed-precond,39,0.00028851424576714635,4000
real,train,train,fixed-precond,40,7.95684100012295e-05,4000
real,train,train,fixed-precond,41,0.00041891614091582596,4000
real,train,train,fixed-precond,42,0.00032983621349558234,4000
real,train,train,fixed-precond,43,0.0001342050964012742,4000
real,train,train,fixed-precond,44,0.00023035665799397975,4000
real,train,train,fixed-precond,45,0.0002510302292648703,4000
real,train,train,fixed-precond,46,0.0025962903164327145,4000
real,train,train,fixed-precond,47,0.00014884407573845237,4000
real,train,train,fixed-precond,48,0.00011044582788599655,4000
real,train,train,fixed-precond,49,0.0001425532973371446,4000
real,train,train,fixed-precond,50,0.00035511763417162,4000
real,train,train,fixed-precond,51,0.0002782584633678198,4000
real,train,train,fixed-precond,52,0.00024892130750231445,4000
real,train,train,fixed-precond,53,0.0003620182687882334,4000
real,train,train,fixed-precond,54,0.00013774115359410644,4000
real,train,train,fixed-precond,55,0.0005369075806811452,4000
real,train,train,fixed-precond,56,0.00017311220290139318,4000
real,train,train,fixed-precond,57,0.00021808875317219645,4000
real,train,train,fixed-precond,58,0.00040815770626068115,4000
real,train,train,fixed-precond,59,0.00014681463653687388,4000
real,train,train,fixed-precond,60,0.0004926336114294827,4000
real,train,train,fixed-precond,61,0.0001526696578366682,4000
real,train,train,fixed-precond,62,0.0003336634545121342,4000
real,train,train,fixed-precond,63,0.00010934519377769902,4000
real,train,train,learned-warped-bv,0,0.00023175097885541618,4000
real,train,train,learned-warped-bv,1,0.00013863647473044693,4000
real,train,train,learned-warped-bv,2,0.00013672906788997352,4000
real,train,train,learned-warped-bv,3,7.34066852601245e-05,4000
real,train,train,learned-warped-bv,4,6.126968219177797e-05,4000
real,train,train,learned-warped-bv,5,0.0001475013850722462,4000
real,train,train,learned-warped-bv,6,0.0002505332522559911,4000
real,train,train,learned-warped-bv,7,0.0009805222507566214,4000
real,train,train,learned-warped-bv,8,9.302407852374017e-05,4000
real,train,train,learned-warped-bv,9,0.00020293342822697014,4000
real,train,train,learned-warped-bv,10,8.76967387739569e-05,4000
real,train,train,learned-warped-bv,11,0.00029842089861631393,4000
real,train,train,learned-warped-bv,12,0.0001385369832860306,4000
real,train,train,learned-warped-bv,13,0.0001773440308170393,4000
real,train,train,learned-warped-bv,14,0.00021335553901735693,4000
real,train,train,learned-warped-bv,15,7.25937497918494e-05,4000
real,train,train,learned-warped-bv,16,0.00011654927220661193,4000
real,train,train,learned-warped-bv,17,9.048860374605283e-05,4000
real,train,train,learned-warped-bv,18,0.00022465824440587312,4000
real,train,train,learned-warped-bv,19,0.0025753278750926256,4000
real,train,train,learned-warped-bv,20,7.877361349528655e-05,4000
real,train,train,learned-warped-bv,21,0.0006131660775281489,4000
real,train,train,learned-warped-bv,22,0.00029705173801630735,4000
real,train,train,learned-warped-bv,23,0.00011275432916590944,4000
real,train,train,learned-warped-bv,24,0.00012375239748507738,4000
real,train,train,learned-warped-bv,25,0.0005853756447322667,4000
real,train,train,learned-warped-bv,26,0.0004161063698120415,4000
real,train,train,learned-warped-bv,27,0.00017054297495633364,4000
real,train,train,learned-warped-bv,28,0.0004995727795176208,4000
real,train,train,learned-warped-bv,29,0.0004484929668251425,4000
real,train,train,learned-warped-bv,30,9.400078852195293e-05,4000
real,train,train,learned-warped-bv,31,0.00011265506327617913,4000
real,train,train,learned-warped-bv,32,0.0002601908054202795,4000
real,train,train,learned-warped-bv,33,0.00010901648056460544,4000
real,train,train,learned-warped-bv,34,0.00024408107856288552,4000
real,train,train,learned-warped-bv,35,8.897711813915521e-05,4000
real,train,train,learned-warped-bv,36,0.00023909698938950896,4000
real,train,train,learned-warped-bv,37,0.0002515052619855851,4000
real,train,train,learned-warped-bv,38,8.168268686858937e-05,4000
real,train,train,learned-warped-bv,39,0.00016047254030127078,4000
real,train,train,learned-warped-bv,40,4.555866325972602e-05,4000
real,train,train,learned-warped-bv,41,0.0002288000687258318,4000
real,train,train,learned-warped-bv,42,0.00020954979117959738,4000
real,train,train,learned-warped-bv,43,9.468173811910674e-05,4000
real,train,train,learned-warped-bv,44,0.00013184502313379198,4000
real,train,train,learned-warped-bv,45,0.00015727663412690163,4000
real,train,train,learned-warped-bv,46,0.0023252000100910664,4000
real,train,train,learned-warped-bv,47,7.133054896257818e-05,4000
real,train,train,learned-warped-bv,48,6.284709525061771e-05,4000
real,train,train,learned-warped-bv,49,6.400668644346297e-05,4000
real,train,train,learned-warped-bv,50,0.0002450150204822421,4000
real,train,train,learned-warped-bv,51,0.00019715505186468363,4000
real,train,train,learned-warped-bv,52,0.00020465331908781081,4000
real,train,train,learned-warped-bv,53,0.0004705213359557092,4000
real,train,train,learned-warped-bv,54,6.282149843173102e-05,4000
real,train,train,learned-warped-bv,55,0.0002552410587668419,4000
real,train,train,learned-warped-bv,56,0.00010509949061088264,4000
real,train,train,learned-warped-bv,57,0.00018692371668294072,4000
real,train,train,learned-warped-bv,58,0.00018610460392665118,4000
real,train,train,learned-warped-bv,59,8.109713235171512e-05,4000
real,train,train,learned-warped-bv,60,0.00026449337019585073,4000
real,train,train,learned-warped-bv,61,8.2054924860131e-05,4000
real,train,train,learned-warped-bv,62,0.0003349141916260123,4000
real,train,train,learned-warped-bv,63,6.181784556247294e-05,4000
real,train,train,Condat-Vu/PDHG,0,0.00017844399553723633,3999
real,train,train,Condat-Vu/PDHG,1,8.845244155963883e-05,3999
real,train,train,Condat-Vu/PDHG,2,9.7237279987894e-05,3999
real,train,train,Condat-Vu/PDHG,3,4.1915867768693715e-05,3999
real,train,train,Condat-Vu/PDHG,4,3.744020432350226e-05,3999
real,train,train,Condat-Vu/PDHG,5,8.597753912908956e-05,3999
real,train,train,Condat-Vu/PDHG,6,0.00012537982547655702,3999
real,train,train,Condat-Vu/PDHG,7,0.0011108859907835722,3999
real,train,train,Condat-Vu/PDHG,8,6.077121724956669e-05,3999
real,train,train,Condat-Vu/PDHG,9,0.00014826575352344662,3999
real,train,train,Condat-Vu/PDHG,10,6.778820534236729e-05,3999
real,train,train,Condat-Vu/PDHG,11,0.0001532507740193978,3999
real,train,train,Condat-Vu/PDHG,12,9.201518696499988e-05,3999
real,train,train,Condat-Vu/PDHG,13,0.000145716083352454,3999
real,train,train,Condat-Vu/PDHG,14,0.00011259627353865653,3999
real,train,train,Condat-Vu/PDHG,15,6.351363117573783e-05,3999
real,train,train,Condat-Vu/PDHG,16,7.33206543372944e-05,3999
real,train,train,Condat-Vu/PDHG,17,5.742166467825882e-05,3999
real,train,train,Condat-Vu/PDHG,18,0.00021001137793064117,3999
real,train,train,Condat-Vu/PDHG,19,0.0025449395179748535,3999
real,train,train,Condat-Vu/PDHG,20,5.4156345868250355e-05,3999
real,train,train,Condat-Vu/PDHG,21,0.00047902303049340844,3999
real,train,train,Condat-Vu/PDHG,22,0.0002454109489917755,3999
real,train,train,Condat-Vu/PDHG,23,8.075396181084216e-05,3999
real,train,train,Condat-Vu/PDHG,24,8.325235103257e-05,3999
real,train,train,Condat-Vu/PDHG,25,0.0006116481963545084,3999
real,train,train,Condat-Vu/PDHG,26,0.0006732145557180047,3999
real,train,train,Condat-Vu/PDHG,27,9.23034967854619e-05,3999
real,train,train,Condat-Vu/PDHG,28,0.00036221923073753715,3999
real,train,train,Condat-Vu/PDHG,29,0.0002637314610183239,3999
real,train,train,Condat-Vu/PDHG,30,6.367629976011813e-05,3999
real,train,train,Condat-Vu/PDHG,31,7.549710426246747e-05,3999
real,train,train,Condat-Vu/PDHG,32,0.00014807305706199259,3999
real,train,train,Condat-Vu/PDHG,33,5.683011477231048e-05,3999
real,train,train,Condat-Vu/PDHG,34,0.0002115564129780978,3999
real,train,train,Condat-Vu/PDHG,35,5.1481732953106984e-05,3999
real,train,train,Condat-Vu/PDHG,36,0.00013921533536631614,3999
real,train,train,Condat-Vu/PDHG,37,0.00014153840311337262,3999
real,train,train,Condat-Vu/PDHG,38,5.47142444702331e-05,3999
real,train,train,Condat-Vu/PDHG,39,8.685351349413395e-05,3999
real,train,train,Condat-Vu/PDHG,40,3.103206108789891e-05,3999
real,train,train,Condat-Vu/PDHG,41,0.0001362242182949558,3999
real,train,train,Condat-Vu/PDHG,42,0.0003644917451310903,3999
real,train,train,Condat-Vu/PDHG,43,6.493020191555843e-05,3999
real,train,train,Condat-Vu/PDHG,44,9.044722537510097e-05,3999
real,train,train,Condat-Vu/PDHG,45,9.149923425866291e-05,3999
real,train,train,Condat-Vu/PDHG,46,0.0024123145267367363,3999
real,train,train,Condat-Vu/PDHG,47,4.5493357902159914e-05,3999
real,train,train,Condat-Vu/PDHG,48,5.2893999963998795e-05,3999
real,train,train,Condat-Vu/PDHG,49,3.255114279454574e-05,3999
real,train,train,Condat-Vu/PDHG,50,0.00024201790802180767,3999
real,train,train,Condat-Vu/PDHG,51,0.00023450782464351505,3999
real,train,train,Condat-Vu/PDHG,52,0.00017943157581612468,3999
real,train,train,Condat-Vu/PDHG,53,0.0004603075503837317,3999
real,train,train,Condat-Vu/PDHG,54,4.0109767724061385e-05,3999
real,train,train,Condat-Vu/PDHG,55,0.0001569569285493344,3999
real,train,train,Condat-Vu/PDHG,56,7.048204861348495e-05,3999
real,train,train,Condat-Vu/PDHG,57,0.00014550518244504929,3999
real,train,train,Condat-Vu/PDHG,58,0.00011220596934435889,3999
real,train,train,Condat-Vu/PDHG,59,5.199138468015008e-05,3999
real,train,train,Condat-Vu/PDHG,60,0.0001269063213840127,3999
real,train,train,Condat-Vu/PDHG,61,5.3478059271583334e-05,3999
real,train,train,Condat-Vu/PDHG,62,0.00037420718581415713,3999
real,train,train,Condat-Vu/PDHG,63,3.872822708217427e-05,3999
synthetic,train,train,plain-FBHF,0,0.002158807823434472,4000
synthetic,train,train,plain-FBHF,1,0.0025748563930392265,4000
synthetic,train,train,plain-FBHF,2,0.028340937569737434,4000
synthetic,train,train,plain-FBHF,3,0.004243230912834406,4000
synthetic,train,train,plain-FBHF,4,0.003946819808334112,4000
synthetic,train,train,plain-FBHF,5,0.02726595290005207,4000
synthetic,train,train,plain-FBHF,6,0.000844903290271759,4000
synthetic,train,train,plain-FBHF,7,0.0025196580681949854,4000
synthetic,train,train,plain-FBHF,8,0.009103592485189438,4000
synthetic,train,train,plain-FBHF,9,0.003191253636032343,4000
